dataset,method,n_test,img_size,n,m,gamma,steps,z_init_std,optimizer,lr,noise,psnr1,psnr2,psnr3,recon_error1,recon_error2,recon_error3
celeba,dcgan,12,64,12288,12288,0,20,0.1,lbfgs,1,random_bora,22.279,22.271,22.249,0.006322,0.006279,0.00635
celeba,dcgan,12,64,12288,10000,0,20,0.1,lbfgs,1,random_bora,21.963,22.086,22.19,0.006774,0.006496,0.006443
celeba,dcgan,12,64,12288,7500,0,20,0.1,lbfgs,1,random_bora,22.079,22.302,21.974,0.006565,0.006254,0.006756
celeba,dcgan,12,64,12288,5000,0,20,0.1,lbfgs,1,random_bora,22.211,22.189,21.998,0.006345,0.006351,0.006631
celeba,dcgan,12,64,12288,2500,0,20,0.1,lbfgs,1,random_bora,22.118,22.003,21.969,0.006543,0.006754,0.006683
celeba,dcgan,12,64,12288,1000,0,20,0.1,lbfgs,1,random_bora,21.552,21.469,21.687,0.00735,0.007543,0.007255
celeba,dcgan,12,64,12288,750,0,20,0.1,lbfgs,1,random_bora,21.257,21.353,21.406,0.008041,0.007874,0.0077
celeba,dcgan,12,64,12288,500,0,20,0.1,lbfgs,1,random_bora,20.757,20.792,20.703,0.008918,0.00892,0.008934
celeba,dcgan,12,64,12288,400,0,20,0.1,lbfgs,1,random_bora,20.239,19.997,20.303,0.010345,0.013101,0.010093
celeba,dcgan,12,64,12288,300,0,20,0.1,lbfgs,1,random_bora,18.928,20.235,20.429,0.017593,0.010205,0.009486
celeba,dcgan,12,64,12288,200,0,20,0.1,lbfgs,1,random_bora,19.257,18.726,19.18,0.012962,0.015079,0.012972
celeba,dcgan,12,64,12288,100,0,20,0.1,lbfgs,1,random_bora,17.417,16.129,16.279,0.020005,0.027037,0.025585
celeba,dcgan,12,64,12288,50,0,20,0.1,lbfgs,1,random_bora,14.613,13.127,14.536,0.037934,0.053511,0.038894
celeba,dcgan,12,64,12288,30,0,20,0.1,lbfgs,1,random_bora,14.22,11.563,12.177,0.040731,0.079856,0.070518
celeba,dcgan,12,64,12288,20,0,20,0.1,lbfgs,1,random_bora,10.957,14.208,14.387,0.089613,0.040263,0.039554
,,,,,,,,,,,,,,,,,
celeba,lasso-wavelet,12,64,12288,12288,0.01,,,sklearn,,random_bora,34.131,33.448,34.088,0.000447,0.000499,0.000421
celeba,lasso-wavelet,12,64,12288,10000,0.01,,,sklearn,,random_bora,31.322,31.299,31.404,0.00087,0.000857,0.000819
celeba,lasso-wavelet,12,64,12288,7500,0.01,,,sklearn,,random_bora,27.569,27.473,27.651,0.002133,0.002243,0.002127
celeba,lasso-wavelet,12,64,12288,5000,0.01,,,sklearn,,random_bora,22.751,22.883,22.553,0.007198,0.006906,0.007576
celeba,lasso-wavelet,12,64,12288,2500,0.01,,,sklearn,,random_bora,18.053,18.141,18.148,0.021193,0.020062,0.02001
celeba,lasso-wavelet,12,64,12288,1000,0.01,,,sklearn,,random_bora,14.541,14.95,14.31,0.042507,0.041219,0.046388
celeba,lasso-wavelet,12,64,12288,750,0.01,,,sklearn,,random_bora,13.485,13.599,14.065,0.053533,0.053497,0.048093
celeba,lasso-wavelet,12,64,12288,500,0.01,,,sklearn,,random_bora,12.737,13.1,13.042,0.061684,0.057338,0.05938
celeba,lasso-wavelet,12,64,12288,400,0.01,,,sklearn,,random_bora,12.745,12.528,12.658,0.060675,0.063165,0.063631
celeba,lasso-wavelet,12,64,12288,300,0.01,,,sklearn,,random_bora,12.278,12.356,12.574,0.070113,0.070441,0.065165
celeba,lasso-wavelet,12,64,12288,200,0.01,,,sklearn,,random_bora,12.248,12.815,11.455,0.065423,0.060318,0.07774
celeba,lasso-wavelet,12,64,12288,100,0.01,,,sklearn,,random_bora,11.952,11.752,11.999,0.069827,0.073625,0.070191
celeba,lasso-wavelet,12,64,12288,50,0.01,,,sklearn,,random_bora,12.098,11.402,11.93,0.066519,0.080988,0.068033
celeba,lasso-wavelet,12,64,12288,30,0.01,,,sklearn,,random_bora,10.716,10.984,11.353,0.090445,0.08372,0.078239
celeba,lasso-wavelet,12,64,12288,20,0.01,,,sklearn,,random_bora,11.019,10.492,10.572,0.085384,0.097851,0.092652
,,,,,,,,,,,,,,,,,
celeba,lasso-dct,12,64,12288,12288,0.01,,,sklearn,,random_bora,36.556,36.573,36.547,0.00023,0.000228,0.00023
celeba,lasso-dct,12,64,12288,10000,0.01,,,sklearn,,random_bora,34.248,34.236,34.302,0.000397,0.000397,0.000391
celeba,lasso-dct,12,64,12288,7500,0.01,,,sklearn,,random_bora,30.694,30.686,30.773,0.00092,0.000925,0.000904
celeba,lasso-dct,12,64,12288,5000,0.01,,,sklearn,,random_bora,26.425,26.453,26.449,0.002473,0.002444,0.002469
celeba,lasso-dct,12,64,12288,2500,0.01,,,sklearn,,random_bora,21.739,21.788,21.74,0.007301,0.007191,0.007266
celeba,lasso-dct,12,64,12288,1000,0.01,,,sklearn,,random_bora,17.792,17.815,17.703,0.01801,0.017976,0.018467
celeba,lasso-dct,12,64,12288,750,0.01,,,sklearn,,random_bora,16.8,16.692,16.855,0.022465,0.023385,0.022305
celeba,lasso-dct,12,64,12288,500,0.01,,,sklearn,,random_bora,15.715,15.697,15.674,0.029245,0.02902,0.02909
celeba,lasso-dct,12,64,12288,400,0.01,,,sklearn,,random_bora,15.34,15.324,15.103,0.031472,0.031622,0.033463
celeba,lasso-dct,12,64,12288,300,0.01,,,sklearn,,random_bora,14.662,14.535,14.425,0.036546,0.037786,0.039299
celeba,lasso-dct,12,64,12288,200,0.01,,,sklearn,,random_bora,13.83,13.412,14.057,0.044922,0.048836,0.042194
celeba,lasso-dct,12,64,12288,100,0.01,,,sklearn,,random_bora,12.913,13.059,13.164,0.055301,0.054484,0.051792
celeba,lasso-dct,12,64,12288,50,0.01,,,sklearn,,random_bora,12.05,12.221,12.112,0.068037,0.064181,0.069714
celeba,lasso-dct,12,64,12288,30,0.01,,,sklearn,,random_bora,12.507,11.867,11.518,0.064191,0.07054,0.073816
celeba,lasso-dct,12,64,12288,20,0.01,,,sklearn,,random_bora,11.377,11.578,8.547,0.077347,0.074858,0.156033
,,,,,,,,,,,,,,,,,
celeba,glow-main,12,64,12288,12288,0,30,0,lbfgs,0.1,random_bora,38.647,,,0.00014,,
celeba,glow-main,12,64,12288,10000,0,30,0,lbfgs,0.1,random_bora,38.306,,,0.000152,,
celeba,glow-main,12,64,12288,7500,0,30,0,lbfgs,0.1,random_bora,37.838,,,0.00017,,
celeba,glow-main,12,64,12288,5000,0,30,0,lbfgs,0.1,random_bora,36.954,,,0.000209,,
celeba,glow-main,12,64,12288,2500,0,30,0,lbfgs,0.1,random_bora,34.558,,,0.000369,,
celeba,glow-main,12,64,12288,1000,0,30,0,lbfgs,0.1,random_bora,30.087,,,0.001046,,
celeba,glow-main,12,64,12288,750,0,30,0,lbfgs,0.1,random_bora,28.778,,,0.001411,,
celeba,glow-main,12,64,12288,500,0,30,0,lbfgs,0.1,random_bora,27.001,,,0.002145,,
celeba,glow-main,12,64,12288,400,0,30,0,lbfgs,0.1,random_bora,25.802,,,0.002835,,
celeba,glow-main,12,64,12288,300,0,30,0,lbfgs,0.1,random_bora,24.582,,,0.003723,,
celeba,glow-main,12,64,12288,200,0,30,0,lbfgs,0.1,random_bora,22.775,,,0.005573,,
celeba,glow-main,12,64,12288,100,0,30,0,lbfgs,0.1,random_bora,20.227,,,0.010428,,
celeba,glow-main,12,64,12288,50,0,30,0,lbfgs,0.1,random_bora,18.091,,,0.017144,,
celeba,glow-main,12,64,12288,30,0,30,0,lbfgs,0.1,random_bora,16.466,,,0.025676,,
celeba,glow-main,12,64,12288,20,0,30,0,lbfgs,0.1,random_bora,15.75,,,0.03067,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,0,lbfgs,0.1,random_bora,36.985,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,0,lbfgs,0.1,random_bora,37.056,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,0,lbfgs,0.1,random_bora,36.962,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,0,lbfgs,0.1,random_bora,37.082,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,0,lbfgs,0.1,random_bora,36.95,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,0,lbfgs,0.1,random_bora,36.952,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,0,lbfgs,0.1,random_bora,36.33,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,0,lbfgs,0.1,random_bora,34.881,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,0,lbfgs,0.1,random_bora,33.021,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,0,lbfgs,0.1,random_bora,31.889,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,0,lbfgs,0.1,random_bora,30.919,,,,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,0.1,lbfgs,0.1,random_bora,35.871,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,0.1,lbfgs,0.1,random_bora,35.808,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,0.1,lbfgs,0.1,random_bora,35.754,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,0.1,lbfgs,0.1,random_bora,35.898,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,0.1,lbfgs,0.1,random_bora,35.867,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,0.1,lbfgs,0.1,random_bora,35.783,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,0.1,lbfgs,0.1,random_bora,35.529,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,0.1,lbfgs,0.1,random_bora,34.465,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,0.1,lbfgs,0.1,random_bora,32.893,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,0.1,lbfgs,0.1,random_bora,31.751,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,0.1,lbfgs,0.1,random_bora,30.879,,,,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,0.7,lbfgs,0.1,random_bora,34.464,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,0.7,lbfgs,0.1,random_bora,34.595,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,0.7,lbfgs,0.1,random_bora,34.58,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,0.7,lbfgs,0.1,random_bora,34.546,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,0.7,lbfgs,0.1,random_bora,34.601,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,0.7,lbfgs,0.1,random_bora,34.75,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,0.7,lbfgs,0.1,random_bora,35.416,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,0.7,lbfgs,0.1,random_bora,35.25,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,0.7,lbfgs,0.1,random_bora,33.407,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,0.7,lbfgs,0.1,random_bora,32.103,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,0.7,lbfgs,0.1,random_bora,31.244,,,,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,lasso-wavelet,lbfgs,0.1,random_bora,31.153,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,lasso-wavelet,lbfgs,0.1,random_bora,31.201,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,lasso-wavelet,lbfgs,0.1,random_bora,31.089,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,lasso-wavelet,lbfgs,0.1,random_bora,31.014,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,lasso-wavelet,lbfgs,0.1,random_bora,31.067,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,lasso-wavelet,lbfgs,0.1,random_bora,31.276,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,lasso-wavelet,lbfgs,0.1,random_bora,33.864,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,lasso-wavelet,lbfgs,0.1,random_bora,34.459,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,lasso-wavelet,lbfgs,0.1,random_bora,33.056,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.75,30,lasso-wavelet,lbfgs,0.1,random_bora,31.699,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1,30,lasso-wavelet,lbfgs,0.1,random_bora,30.954,,,,,
,,,,,,,,,,,,,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.101,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-06,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.092,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,1E-05,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.095,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.0001,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.098,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.001,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.11,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.01,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,27.424,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.1,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,34.543,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.25,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,35.082,,,,,
celeba,glow-ablation-gamma,12,64,12288,5000,0.5,30,null-space-pertnorm-5,lbfgs,0.1,random_bora,33.533,,,,,
