dataset,method,n_test,img_size,n,m,gamma,steps,z_init_norm,optimizer,lr,noise,psnr1,psnr2,psnr3,z_recov_norm1,z_recov_norm2,z_recov_norm3
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,0,lbfgs,0.1,random_bora,35.984,,,49.05,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,10,lbfgs,0.1,random_bora,35.911,,,50.01,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,20,lbfgs,0.1,random_bora,35.716,,,51.574,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,30,lbfgs,0.1,random_bora,35.649,,,54.928,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,40,lbfgs,0.1,random_bora,35.415,,,59.526,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,50,lbfgs,0.1,random_bora,35.107,,,64.726,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,60,lbfgs,0.1,random_bora,35.034,,,71.327,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,70,lbfgs,0.1,random_bora,34.719,,,77.577,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,80,lbfgs,0.1,random_bora,34.449,,,84.024,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,90,lbfgs,0.1,random_bora,34.422,,,90.429,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,100,lbfgs,0.1,random_bora,34.057,,,96.562,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,110,lbfgs,0.1,random_bora,33.831,,,102.218,,
celeba,glow-ablation-z-init-norm,12,64,12288,5000,0,30,120,lbfgs,0.1,random_bora,33.567,,,107.852,,
