dataset,method,n_test,img_size,steps,z_init_std,optimizer,lr,gamma,noise_std,psnr1,psnr2,psnr3,psnr_noisy
celeba,bm3d,12,64,,,,,,0.01,43.668,,,40.0378571428571
celeba,bm3d,12,64,,,,,,0.05,33.948,,,26.2248571428571
celeba,bm3d,12,64,,,,,,0.1,29.925,,,20.4862857142857
celeba,bm3d,12,64,,,,,,0.2,25.156,,,15.0540714285714
,,,,,,,,,,,,,
celeba,glow,12,64,20,0,lbfgs,1,0,0,42.079,,,
celeba,glow,12,64,20,0,lbfgs,1,0.01,0,41.956,,,
celeba,glow,12,64,20,0,lbfgs,1,0.025,0,41.668,,,
celeba,glow,12,64,20,0,lbfgs,1,0.05,0,41.078,,,
celeba,glow,12,64,20,0,lbfgs,1,0.075,0,40.37,,,
celeba,glow,12,64,20,0,lbfgs,1,0.1,0,39.782,,,
celeba,glow,12,64,20,0,lbfgs,1,0.25,0,36.853,,,
celeba,glow,12,64,20,0,lbfgs,1,0.5,0,34.277,,,
celeba,glow,12,64,20,0,lbfgs,1,0.75,0,32.758,,,
celeba,glow,12,64,20,0,lbfgs,1,1,0,31.688,,,
celeba,glow,12,64,20,0,lbfgs,1,2.5,0,28.092,,,
celeba,glow,12,64,20,0,lbfgs,1,5,0,25.513,,,
celeba,glow,12,64,20,0,lbfgs,1,7.5,0,24.165,,,
celeba,glow,12,64,20,0,lbfgs,1,10,0,23.191,,,
celeba,glow,12,64,20,0,lbfgs,1,20,0,20.289,,,
celeba,glow,12,64,20,0,lbfgs,1,30,0,18.947,,,
celeba,glow,12,64,20,0,lbfgs,1,40,0,17.787,,,
celeba,glow,12,64,20,0,lbfgs,1,50,0,17.273,,,
,,,,,,,,,,,,,
celeba,glow,12,64,20,0,lbfgs,1,0,0.01,40.832,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.01,0.01,40.852,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.025,0.01,40.771,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.05,0.01,40.436,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.075,0.01,39.965,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.1,0.01,39.411,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.25,0.01,36.76,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.5,0.01,34.247,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,0.75,0.01,32.747,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,1,0.01,31.695,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,2.5,0.01,28.11,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,5,0.01,25.52,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,7.5,0.01,24.133,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,10,0.01,23.197,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,20,0.01,20.312,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,30,0.01,18.955,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,40,0.01,17.792,,,40.0378571428571
celeba,glow,12,64,20,0,lbfgs,1,50,0.01,17.273,,,40.0378571428571
,,,,,,,,,,,,,
celeba,glow,12,64,20,0,lbfgs,1,0,0.05,29.365,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.01,0.05,29.669,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.025,0.05,30.073,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.05,0.05,30.688,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.075,0.05,31.354,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.1,0.05,31.983,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.25,0.05,34.036,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.5,0.05,33.415,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,0.75,0.05,32.394,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,1,0.05,31.392,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,2.5,0.05,28.061,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,5,0.05,25.516,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,7.5,0.05,24.151,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,10,0.05,23.161,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,20,0.05,20.309,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,30,0.05,18.943,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,40,0.05,17.795,,,26.2248571428571
celeba,glow,12,64,20,0,lbfgs,1,50,0.05,17.273,,,26.2248571428571
,,,,,,,,,,,,,
celeba,glow,12,64,20,0,lbfgs,1,0,0.1,22.323,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.01,0.1,22.402,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.025,0.1,22.554,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.05,0.1,22.61,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.075,0.1,22.845,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.1,0.1,23.036,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.25,0.1,24.606,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.5,0.1,28.386,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,0.75,0.1,30.252,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,1,0.1,30.479,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,2.5,0.1,27.901,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,5,0.1,25.437,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,7.5,0.1,24.11,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,10,0.1,23.148,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,20,0.1,20.298,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,30,0.1,18.967,,,20.4862857142857
celeba,glow,12,64,20,0,lbfgs,1,40,0.1,17.773,,,20.4862857142857
