Dx,Dz,method
0.0036633047,0.01,natural-direction
0.008379641,0.01,natural-direction
0.0054345108,0.01,natural-direction
0.0047961255,0.01,natural-direction
0.0036454315,0.01,natural-direction
0.0064803143,0.01,natural-direction
0.0043555545,0.01,natural-direction
0.005255074,0.01,natural-direction
0.0046533286,0.01,natural-direction
0.006573347,0.01,natural-direction
0.004169894,0.01,natural-direction
0.002668406,0.01,natural-direction
0.005438292,0.01,natural-direction
0.0035406628,0.01,natural-direction
0.005334823,0.01,natural-direction
0.006651416,0.01,natural-direction
0.006725234,0.01,natural-direction
0.0038128186,0.01,natural-direction
0.005521462,0.01,natural-direction
0.0028252043,0.01,natural-direction
0.0037799082,0.01,natural-direction
0.0036616172,0.01,natural-direction
0.0058983346,0.01,natural-direction
0.0072190682,0.01,natural-direction
0.0071252747,0.01,natural-direction
0.0033025611,0.01,natural-direction
0.004222278,0.01,natural-direction
0.003110301,0.01,natural-direction
0.014004594,0.01,natural-direction
0.00484871,0.01,natural-direction
0.0036134243,0.01,natural-direction
0.0047798613,0.01,natural-direction
0.0057933065,0.01,natural-direction
0.0049758344,0.01,natural-direction
0.008752824,0.01,natural-direction
0.00516478,0.01,natural-direction
0.006103615,0.01,natural-direction
0.0029733996,0.01,natural-direction
0.0054192655,0.01,natural-direction
0.0044659195,0.01,natural-direction
0.010348272,0.01,natural-direction
0.004030651,0.01,natural-direction
0.0026370918,0.01,natural-direction
0.004095337,0.01,natural-direction
0.0045448975,0.01,natural-direction
0.0061439183,0.01,natural-direction
0.005907947,0.01,natural-direction
0.00629145,0.01,natural-direction
0.0042796107,0.01,natural-direction
0.0051452927,0.01,natural-direction
0.005055469,0.01,natural-direction
0.0050586006,0.01,natural-direction
0.0033187107,0.01,natural-direction
0.0024712216,0.01,natural-direction
0.0046880073,0.01,natural-direction
0.004323663,0.01,natural-direction
0.0047931992,0.01,natural-direction
0.0035960586,0.01,natural-direction
0.006354743,0.01,natural-direction
0.004854908,0.01,natural-direction
0.005830876,0.01,natural-direction
0.004961783,0.01,natural-direction
0.008501621,0.01,natural-direction
0.0041630846,0.01,natural-direction
0.003675391,0.01,natural-direction
0.0067591458,0.01,natural-direction
0.02198497,0.01,natural-direction
0.00557372,0.01,natural-direction
0.006533019,0.01,natural-direction
0.0033317024,0.01,natural-direction
0.012109785,0.01,natural-direction
0.004661356,0.01,natural-direction
0.0040790546,0.01,natural-direction
0.014032537,0.01,natural-direction
0.005215088,0.01,natural-direction
0.0056550237,0.01,natural-direction
0.005743358,0.01,natural-direction
0.007943908,0.01,natural-direction
0.00320583,0.01,natural-direction
0.005939807,0.01,natural-direction
0.024157373,0.05,natural-direction
0.03050761,0.05,natural-direction
0.03408331,0.05,natural-direction
0.019000951,0.05,natural-direction
0.037505127,0.05,natural-direction
0.014767968,0.05,natural-direction
0.033521116,0.05,natural-direction
0.030209204,0.05,natural-direction
0.025075689,0.05,natural-direction
0.027321508,0.05,natural-direction
0.018747723,0.05,natural-direction
0.028189505,0.05,natural-direction
0.018899342,0.05,natural-direction
0.023503058,0.05,natural-direction
0.05369606,0.05,natural-direction
0.045419548,0.05,natural-direction
0.028088104,0.05,natural-direction
0.028228454,0.05,natural-direction
0.024758616,0.05,natural-direction
0.01886988,0.05,natural-direction
0.034342196,0.05,natural-direction
0.02756864,0.05,natural-direction
0.021514805,0.05,natural-direction
0.029758498,0.05,natural-direction
0.01378609,0.05,natural-direction
0.025162576,0.05,natural-direction
0.022655034,0.05,natural-direction
0.06315124,0.05,natural-direction
0.031874772,0.05,natural-direction
0.072733,0.05,natural-direction
0.021659026,0.05,natural-direction
0.026644945,0.05,natural-direction
0.035027064,0.05,natural-direction
0.11416219,0.05,natural-direction
0.0316978,0.05,natural-direction
0.016185785,0.05,natural-direction
0.021921407,0.05,natural-direction
0.01722106,0.05,natural-direction
0.025154134,0.05,natural-direction
0.019596254,0.05,natural-direction
0.028655069,0.05,natural-direction
0.019733923,0.05,natural-direction
0.015372467,0.05,natural-direction
0.022160845,0.05,natural-direction
0.027051043,0.05,natural-direction
0.018388472,0.05,natural-direction
0.021202192,0.05,natural-direction
0.018935459,0.05,natural-direction
0.028753804,0.05,natural-direction
0.020793397,0.05,natural-direction
0.030112645,0.05,natural-direction
0.025735568,0.05,natural-direction
0.04398944,0.05,natural-direction
0.033853,0.05,natural-direction
0.026176084,0.05,natural-direction
0.026155654,0.05,natural-direction
0.022424394,0.05,natural-direction
0.030730363,0.05,natural-direction
0.024743233,0.05,natural-direction
0.01732371,0.05,natural-direction
0.026649984,0.05,natural-direction
0.0369918,0.05,natural-direction
0.013694863,0.05,natural-direction
0.012785625,0.05,natural-direction
0.0326077,0.05,natural-direction
0.030817036,0.05,natural-direction
0.034955353,0.05,natural-direction
0.04115757,0.05,natural-direction
0.024333011,0.05,natural-direction
0.043490443,0.05,natural-direction
0.07287322,0.05,natural-direction
0.029359912,0.05,natural-direction
0.021218758,0.05,natural-direction
0.017289385,0.05,natural-direction
0.02570582,0.05,natural-direction
0.033039335,0.05,natural-direction
0.024108015,0.05,natural-direction
0.023109185,0.05,natural-direction
0.018729627,0.05,natural-direction
0.016628193,0.05,natural-direction
0.061584417,0.09,natural-direction
0.0544344,0.09,natural-direction
0.04951678,0.09,natural-direction
0.0632664,0.09,natural-direction
0.043684967,0.09,natural-direction
0.047392573,0.09,natural-direction
0.026696866,0.09,natural-direction
0.03387491,0.09,natural-direction
0.03422083,0.09,natural-direction
0.0343304,0.09,natural-direction
0.13180293,0.09,natural-direction
0.06343932,0.09,natural-direction
0.20712937,0.09,natural-direction
0.06694524,0.09,natural-direction
0.06776187,0.09,natural-direction
0.055201836,0.09,natural-direction
0.09739019,0.09,natural-direction
0.06054137,0.09,natural-direction
0.03562736,0.09,natural-direction
0.029324992,0.09,natural-direction
0.03424221,0.09,natural-direction
0.031140704,0.09,natural-direction
0.042549588,0.09,natural-direction
0.033339795,0.09,natural-direction
0.114815794,0.09,natural-direction
0.024889695,0.09,natural-direction
0.04098793,0.09,natural-direction
0.04987822,0.09,natural-direction
0.07879205,0.09,natural-direction
0.03409642,0.09,natural-direction
0.04521034,0.09,natural-direction
0.044128016,0.09,natural-direction
0.057413857,0.09,natural-direction
0.051814485,0.09,natural-direction
0.08232716,0.09,natural-direction
0.048169795,0.09,natural-direction
0.055584967,0.09,natural-direction
0.053712986,0.09,natural-direction
0.040539015,0.09,natural-direction
0.05308416,0.09,natural-direction
0.039083093,0.09,natural-direction
0.061179914,0.09,natural-direction
0.027749544,0.09,natural-direction
0.0619892,0.09,natural-direction
0.039627183,0.09,natural-direction
0.024765851,0.09,natural-direction
0.04648374,0.09,natural-direction
0.04000014,0.09,natural-direction
0.04729333,0.09,natural-direction
0.050811857,0.09,natural-direction
0.03883618,0.09,natural-direction
0.0743753,0.09,natural-direction
0.03395616,0.09,natural-direction
0.04171646,0.09,natural-direction
0.04647317,0.09,natural-direction
0.045510456,0.09,natural-direction
0.05441396,0.09,natural-direction
0.038209297,0.09,natural-direction
0.048039574,0.09,natural-direction
0.044688974,0.09,natural-direction
0.07964163,0.09,natural-direction
0.03534921,0.09,natural-direction
0.13172382,0.09,natural-direction
0.037587646,0.09,natural-direction
0.05570599,0.09,natural-direction
0.038408767,0.09,natural-direction
0.031237556,0.09,natural-direction
0.030021997,0.09,natural-direction
0.057732593,0.09,natural-direction
0.051847227,0.09,natural-direction
0.045538343,0.09,natural-direction
0.044918522,0.09,natural-direction
0.050965555,0.09,natural-direction
0.0488558,0.09,natural-direction
0.031288072,0.09,natural-direction
0.023099406,0.09,natural-direction
0.043609843,0.09,natural-direction
0.050940007,0.09,natural-direction
0.058892373,0.09,natural-direction
0.05969027,0.09,natural-direction
0.11948061,0.13,natural-direction
0.065298475,0.13,natural-direction
0.08912088,0.13,natural-direction
0.08742382,0.13,natural-direction
0.035968095,0.13,natural-direction
0.05524615,0.13,natural-direction
0.083281286,0.13,natural-direction
0.07490073,0.13,natural-direction
0.04013476,0.13,natural-direction
0.054413255,0.13,natural-direction
0.049583584,0.13,natural-direction
0.14152934,0.13,natural-direction
0.056460336,0.13,natural-direction
0.051068045,0.13,natural-direction
0.07067826,0.13,natural-direction
0.06851033,0.13,natural-direction
0.07877262,0.13,natural-direction
0.071836196,0.13,natural-direction
0.04917416,0.13,natural-direction
0.09170904,0.13,natural-direction
0.06317841,0.13,natural-direction
0.03867363,0.13,natural-direction
0.049038474,0.13,natural-direction
0.06163307,0.13,natural-direction
0.09805995,0.13,natural-direction
0.06315024,0.13,natural-direction
0.059398048,0.13,natural-direction
0.096763186,0.13,natural-direction
0.07761188,0.13,natural-direction
0.0450538,0.13,natural-direction
0.07230634,0.13,natural-direction
0.057795443,0.13,natural-direction
0.07368564,0.13,natural-direction
0.07357542,0.13,natural-direction
0.19108471,0.13,natural-direction
0.06407124,0.13,natural-direction
0.3006626,0.13,natural-direction
0.07978708,0.13,natural-direction
0.06852597,0.13,natural-direction
0.0786534,0.13,natural-direction
0.04961683,0.13,natural-direction
0.08361783,0.13,natural-direction
0.085336566,0.13,natural-direction
0.042449716,0.13,natural-direction
0.09178289,0.13,natural-direction
0.060259975,0.13,natural-direction
0.057409152,0.13,natural-direction
0.0805297,0.13,natural-direction
0.06595306,0.13,natural-direction
0.07519164,0.13,natural-direction
0.03337511,0.13,natural-direction
0.080666244,0.13,natural-direction
0.06582163,0.13,natural-direction
0.06731228,0.13,natural-direction
0.11562782,0.13,natural-direction
0.05148849,0.13,natural-direction
0.049552243,0.13,natural-direction
0.07367294,0.13,natural-direction
0.065153085,0.13,natural-direction
0.048305146,0.13,natural-direction
0.045319296,0.13,natural-direction
0.16727322,0.13,natural-direction
0.076752625,0.13,natural-direction
0.19065908,0.13,natural-direction
0.055648506,0.13,natural-direction
0.08967645,0.13,natural-direction
0.06733246,0.13,natural-direction
0.045300566,0.13,natural-direction
0.06980071,0.13,natural-direction
0.058601905,0.13,natural-direction
0.056096658,0.13,natural-direction
0.0646162,0.13,natural-direction
0.04936257,0.13,natural-direction
0.11409936,0.13,natural-direction
0.043445513,0.13,natural-direction
0.08863063,0.13,natural-direction
0.06929593,0.13,natural-direction
0.08647067,0.13,natural-direction
0.10761457,0.13,natural-direction
0.03588968,0.13,natural-direction
0.1165906,0.18,natural-direction
0.10429303,0.18,natural-direction
0.22021168,0.18,natural-direction
0.07382882,0.18,natural-direction
0.064719774,0.18,natural-direction
0.15664035,0.18,natural-direction
0.06434149,0.18,natural-direction
0.082658686,0.18,natural-direction
0.11425717,0.18,natural-direction
0.14942962,0.18,natural-direction
0.0853666,0.18,natural-direction
0.07781915,0.18,natural-direction
0.055597372,0.18,natural-direction
0.06514388,0.18,natural-direction
0.18569694,0.18,natural-direction
0.06482199,0.18,natural-direction
0.1281724,0.18,natural-direction
0.047042448,0.18,natural-direction
0.091478035,0.18,natural-direction
0.08409719,0.18,natural-direction
0.07658369,0.18,natural-direction
0.06485623,0.18,natural-direction
0.06737484,0.18,natural-direction
0.15148662,0.18,natural-direction
0.08970448,0.18,natural-direction
0.10316944,0.18,natural-direction
0.08821932,0.18,natural-direction
0.0861223,0.18,natural-direction
0.14101034,0.18,natural-direction
0.120269395,0.18,natural-direction
0.08645882,0.18,natural-direction
0.050693978,0.18,natural-direction
0.11739978,0.18,natural-direction
0.09481858,0.18,natural-direction
0.08980144,0.18,natural-direction
0.10289571,0.18,natural-direction
0.10138169,0.18,natural-direction
0.10043661,0.18,natural-direction
0.08269779,0.18,natural-direction
0.09848479,0.18,natural-direction
0.063342296,0.18,natural-direction
0.09249058,0.18,natural-direction
0.071319394,0.18,natural-direction
