dataset,method,n_test,img_size,steps,z_init_std,optimizer,lr,inpaint_method,mask_size,gamma,psnr1,psnr2,psnr3,recon_error1,recon_error2,recon_error3
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0,34.636,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.01,34.659,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.025,34.747,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.05,34.883,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.075,34.777,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.1,34.528,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.25,33.311,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.5,31.806,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,0.75,30.814,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,1,30.007,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,2.5,27.178,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,5,25.002,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,7.5,23.691,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,10,22.754,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,20,19.865,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,30,18.178,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,40,17.533,,,,,
celeba,glow-main,12,64,20,0,lbfgs,1,center,0.3,50,16.999,,,,,
,,,,,,,,,,,,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0,33.631,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.01,33.548,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.025,34.303,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.05,34.873,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.075,34.805,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.1,34.687,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.25,33.602,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.5,32.088,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,0.75,31.098,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,1,30.302,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,2.5,27.445,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,5,25.21,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,7.5,23.935,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,10,23.02,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,20,20.322,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,30,18.688,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,40,,,,,,
celeba,glow-ablation,12,64,20,0.7,lbfgs,1,center,0.3,50,,,,,,
,,,,,,,,,,,,,,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0,21.983,22.236,22.051,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.01,21.911,21.947,21.978,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.025,21.664,21.848,21.684,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.05,21.951,21.851,21.994,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.075,22.065,21.88,21.953,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.1,21.922,22.032,22.11,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.25,22.038,21.909,21.946,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.5,21.697,21.898,22.072,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,0.75,21.85,21.848,21.418,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,1,21.71,21.71,21.793,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,2.5,21.397,21.254,21.19,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,5,20.602,20.489,20.592,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,7.5,20.155,19.954,20.056,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,10,19.816,19.713,19.745,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,20,18.814,18.7,18.9,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,30,18.045,17.97,17.882,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,40,17.77,17.333,17.884,,,
celeba,dcgan,12,64,20,0.1,lbfgs,1,center,0.3,50,16.997,17.01,17.333,,,
